[ "0" , "2" , "-" , "-" , "-" , "1" , "0" , "0" , "0" ]
[ "0" , "|" , "2" , "=" , "5" , "=" , "=" , "4" , "0" ]
[ "0" , "4" , "-" , "1" , "|" , "1" , "0" , "$" , "1" ]
[ "0" , "$" , "0" , "0" , "3" , "|" , "0" , "$" , "|" ]
[ "0" , "5" , "-" , "1" , "$" , "2" , "-" , "4" , "|" ]
[ "0" , "$" , "2" , "=" , "6" , "=" , "2" , "|" , "3" ]
[ "0" , "4" , "-" , "-" , "-" , "4" , "=" , "3" , "$" ]
[ "0" , "|" , "0" , "0" , "0" , "|" , "0" , "0" , "$" ]
[ "0" , "2" , "-" , "2" , "-" , "4" , "=" , "=" , "4" ]
